,tiki_pid,quantity_sold_value,ingestion_dt_unix,ingestion_date
0,548888,303,1710396371,2024-03-14
1,273532024,3015,1710396371,2024-03-14
2,56094765,14,1710396371,2024-03-14
3,184476147,2779,1710396371,2024-03-14
4,272125975,1528,1710396371,2024-03-14
5,115669047,3591,1710396371,2024-03-14
6,270851667,2122,1710396371,2024-03-14
7,252608882,9027,1710396371,2024-03-14
8,252608902,9247,1710396371,2024-03-14
9,252608891,22588,1710396371,2024-03-14
10,252608892,11291,1710396371,2024-03-14
11,247427686,24737,1710396371,2024-03-14
12,247427699,24368,1710396371,2024-03-14
13,210966404,2119,1710396371,2024-03-14
14,193583716,1575,1710396371,2024-03-14
15,135328953,14671,1710396371,2024-03-14
16,121485346,8546,1710396371,2024-03-14
17,117170051,49535,1710396371,2024-03-14
18,116410119,14469,1710396371,2024-03-14
19,116410159,13507,1710396371,2024-03-14
20,100989176,10064,1710396371,2024-03-14
21,97551646,32377,1710396371,2024-03-14
22,248758024,10329,1710396371,2024-03-14
23,68370674,7881,1710396371,2024-03-14
24,58731234,20548,1710396371,2024-03-14
25,53507455,7336,1710396371,2024-03-14
26,53506478,2209,1710396371,2024-03-14
27,22254660,25396,1710396371,2024-03-14
28,2738475,19942,1710396371,2024-03-14
29,8959289,19860,1710396371,2024-03-14
30,632680,16057,1710396371,2024-03-14
31,10071383,11265,1710396371,2024-03-14
32,1600059,1194,1710396371,2024-03-14
33,207566226,337,1710396371,2024-03-14
34,200629270,3294,1710396371,2024-03-14
35,114809857,1631,1710396371,2024-03-14
36,106864418,1518,1710396371,2024-03-14
